"person_name","title","release_date","phase","billing_order","previous_mcu_release","days_since_last_appearance","rotten_tomatoes_clean","imdb_rating"
Angelina Jolie,Eternals,2021-11-05,Phase Four,2,,,48,6.2
Anthony Mackie,Captain America: Brave New World,2025-02-14,Phase Five,0,,,46,5.6
Awkwafina,Shang-Chi and the Legend of the Ten Rings,2021-09-03,Phase Four,2,,,92,7.3
Ben Mendelsohn,Captain Marvel,2019-03-08,Phase Three,2,,,79,6.7
Benedict Cumberbatch,Doctor Strange,2016-11-04,Phase Three,0,,,89,7.5
Benedict Cumberbatch,Spider-Man: No Way Home,2021-12-17,Phase Four,2,2016-11-04,1869,93,8.1
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness,2022-05-06,Phase Four,0,2021-12-17,140,73,6.9
Brie Larson,Captain Marvel,2019-03-08,Phase Three,0,,,79,6.7
Brie Larson,The Marvels,2023-11-10,Phase Five,0,2019-03-08,1708,63,5.5
Chadwick Boseman,Black Panther,2018-02-16,Phase Three,0,,,96,7.3
Chiwetel Ejiofor,Doctor Strange,2016-11-04,Phase Three,1,,,89,7.5
Chris Evans,Captain America: The First Avenger,2011-07-22,Phase One,0,,,80,6.9
Chris Evans,The Avengers,2012-05-04,Phase One,1,2011-07-22,287,91,8.0
Chris Evans,Captain America: The Winter Soldier,2014-04-04,Phase Two,0,2012-05-04,700,90,7.7
Chris Evans,Captain America: Civil War,2016-05-06,Phase Three,0,2014-04-04,763,90,7.8
Chris Evans,Avengers: Infinity War,2018-04-27,Phase Three,1,2016-05-06,721,85,8.4
Chris Evans,Avengers: Endgame,2019-04-26,Phase Three,1,2018-04-27,364,94,8.4
Chris Hemsworth,Thor,2011-05-06,Phase One,0,,,77,7.0
Chris Hemsworth,Thor: The Dark World,2013-11-08,Phase Two,0,2011-05-06,917,67,6.7
Chris Hemsworth,Avengers: Age of Ultron,2015-05-01,Phase Two,1,2013-11-08,539,75,7.3
Chris Hemsworth,Thor: Ragnarok,2017-11-03,Phase Three,0,2015-05-01,917,93,7.9
Chris Hemsworth,Avengers: Infinity War,2018-04-27,Phase Three,2,2017-11-03,175,85,8.4
Chris Hemsworth,Thor: Love and Thunder,2022-07-08,Phase Four,0,2018-04-27,1533,64,6.1
Chris Pratt,Guardians of the Galaxy,2014-08-01,Phase Two,0,,,91,8.0
Chris Pratt,Guardians of the Galaxy Vol. 2,2017-05-05,Phase Three,0,2014-08-01,1008,85,7.6
Chris Pratt,Guardians of the Galaxy Vol. 3,2023-05-05,Phase Five,0,2017-05-05,2191,82,7.9
Christian Bale,Thor: Love and Thunder,2022-07-08,Phase Four,2,,,64,6.1
Danny Ramirez,Captain America: Brave New World,2025-02-14,Phase Five,2,,,46,5.6
Dave Bautista,Guardians of the Galaxy,2014-08-01,Phase Two,2,,,91,8.0
Dave Bautista,Guardians of the Galaxy Vol. 2,2017-05-05,Phase Three,2,2014-08-01,1008,85,7.6
Dave Bautista,Guardians of the Galaxy Vol. 3,2023-05-05,Phase Five,2,2017-05-05,2191,82,7.9
Don Cheadle,Iron Man 2,2010-05-07,Phase One,2,,,72,6.9
Don Cheadle,Iron Man 3,2013-05-03,Phase Two,2,2010-05-07,1092,79,7.1
Edward Norton,The Incredible Hulk,2008-06-13,Phase One,0,,,68,6.6
Elizabeth Olsen,Doctor Strange in the Multiverse of Madness,2022-05-06,Phase Four,2,,,73,6.9
Emma Corrin,Deadpool & Wolverine,2024-07-26,Phase Five,2,,,77,7.5
Evangeline Lilly,Ant-Man,2015-07-17,Phase Two,2,,,83,7.2
Evangeline Lilly,Ant-Man and the Wasp,2018-07-06,Phase Three,1,2015-07-17,1085,87,7.0
Evangeline Lilly,Ant-Man and the Wasp: Quantumania,2023-02-17,Phase Five,1,2018-07-06,1687,46,6.0
Florence Pugh,Black Widow,2021-07-09,Phase Four,1,,,79,6.6
Florence Pugh,Thunderbolts*,2025-05-02,Phase Five,0,2021-07-09,1393,88,7.1
Gemma Chan,Eternals,2021-11-05,Phase Four,0,,,48,6.2
Gwyneth Paltrow,Iron Man 2,2010-05-07,Phase One,1,,,72,6.9
Gwyneth Paltrow,Iron Man 3,2013-05-03,Phase Two,1,2010-05-07,1092,79,7.1
Harrison Ford,Captain America: Brave New World,2025-02-14,Phase Five,1,,,46,5.6
Hayley Atwell,Captain America: The First Avenger,2011-07-22,Phase One,1,,,80,6.9
Hugh Jackman,Deadpool & Wolverine,2024-07-26,Phase Five,1,,,77,7.5
Iman Vellani,The Marvels,2023-11-10,Phase Five,2,,,63,5.5
Jake Gyllenhaal,Spider-Man: Far From Home,2019-07-02,Phase Three,1,,,91,7.3
Jeff Bridges,Iron Man,2008-05-02,Phase One,2,,,94,7.9
Julia Louis-Dreyfus,Thunderbolts*,2025-05-02,Phase Five,2,,,88,7.1
Letitia Wright,Black Panther: Wakanda Forever,2022-11-11,Phase Four,0,,,84,6.6
Liv Tyler,The Incredible Hulk,2008-06-13,Phase One,1,,,68,6.6
Lupita Nyong'o,Black Panther,2018-02-16,Phase Three,2,,,96,7.3
Lupita Nyong'o,Black Panther: Wakanda Forever,2022-11-11,Phase Four,2,2018-02-16,1729,84,6.6
Mark Ruffalo,The Avengers,2012-05-04,Phase One,2,,,91,8.0
Mark Ruffalo,Avengers: Age of Ultron,2015-05-01,Phase Two,2,2012-05-04,1092,75,7.3
Mark Ruffalo,Thor: Ragnarok,2017-11-03,Phase Three,1,2015-05-01,917,93,7.9
Mark Ruffalo,Avengers: Endgame,2019-04-26,Phase Three,2,2017-11-03,539,94,8.4
Michael B. Jordan,Black Panther,2018-02-16,Phase Three,1,,,96,7.3
Michael Douglas,Ant-Man,2015-07-17,Phase Two,1,,,83,7.2
Michael Douglas,Ant-Man and the Wasp,2018-07-06,Phase Three,2,2015-07-17,1085,87,7.0
Michael Douglas,Ant-Man and the Wasp: Quantumania,2023-02-17,Phase Five,2,2018-07-06,1687,46,6.0
Michael Keaton,Spider-Man: Homecoming,2017-07-07,Phase Three,1,,,92,7.4
Natalie Portman,Thor,2011-05-06,Phase One,1,,,77,7.0
Natalie Portman,Thor: The Dark World,2013-11-08,Phase Two,1,2011-05-06,917,67,6.7
Natalie Portman,Thor: Love and Thunder,2022-07-08,Phase Four,1,2013-11-08,3164,64,6.1
Paul Rudd,Ant-Man,2015-07-17,Phase Two,0,,,83,7.2
Paul Rudd,Ant-Man and the Wasp,2018-07-06,Phase Three,0,2015-07-17,1085,87,7.0
Paul Rudd,Ant-Man and the Wasp: Quantumania,2023-02-17,Phase Five,0,2018-07-06,1687,46,6.0
Rachel McAdams,Doctor Strange,2016-11-04,Phase Three,2,,,89,7.5
Rachel Weisz,Black Widow,2021-07-09,Phase Four,2,,,79,6.6
Richard Madden,Eternals,2021-11-05,Phase Four,1,,,48,6.2
Robert Downey Jr.,Iron Man,2008-05-02,Phase One,0,,,94,7.9
Robert Downey Jr.,Iron Man 2,2010-05-07,Phase One,0,2008-05-02,735,72,6.9
Robert Downey Jr.,The Avengers,2012-05-04,Phase One,0,2010-05-07,728,91,8.0
Robert Downey Jr.,Iron Man 3,2013-05-03,Phase Two,0,2012-05-04,364,79,7.1
Robert Downey Jr.,Avengers: Age of Ultron,2015-05-01,Phase Two,0,2013-05-03,728,75,7.3
Robert Downey Jr.,Captain America: Civil War,2016-05-06,Phase Three,1,2015-05-01,371,90,7.8
Robert Downey Jr.,Spider-Man: Homecoming,2017-07-07,Phase Three,2,2016-05-06,427,92,7.4
Robert Downey Jr.,Avengers: Infinity War,2018-04-27,Phase Three,0,2017-07-07,294,85,8.4
Robert Downey Jr.,Avengers: Endgame,2019-04-26,Phase Three,0,2018-04-27,364,94,8.4
Ryan Reynolds,Deadpool & Wolverine,2024-07-26,Phase Five,0,,,77,7.5
Samuel L. Jackson,Captain America: The Winter Soldier,2014-04-04,Phase Two,1,,,90,7.7
Samuel L. Jackson,Captain Marvel,2019-03-08,Phase Three,1,2014-04-04,1799,79,6.7
Samuel L. Jackson,Spider-Man: Far From Home,2019-07-02,Phase Three,2,2019-03-08,116,91,7.3
Scarlett Johansson,Captain America: The Winter Soldier,2014-04-04,Phase Two,2,,,90,7.7
Scarlett Johansson,Captain America: Civil War,2016-05-06,Phase Three,2,2014-04-04,763,90,7.8
Scarlett Johansson,Black Widow,2021-07-09,Phase Four,0,2016-05-06,1890,79,6.6
Sebastian Stan,Captain America: The First Avenger,2011-07-22,Phase One,2,,,80,6.9
Sebastian Stan,Thunderbolts*,2025-05-02,Phase Five,1,2011-07-22,5033,88,7.1
Simu Liu,Shang-Chi and the Legend of the Ten Rings,2021-09-03,Phase Four,0,,,92,7.3
Tenoch Huerta Mejía,Black Panther: Wakanda Forever,2022-11-11,Phase Four,1,,,84,6.6
Terrence Howard,Iron Man,2008-05-02,Phase One,1,,,94,7.9
Teyonah Parris,The Marvels,2023-11-10,Phase Five,1,,,63,5.5
Tim Roth,The Incredible Hulk,2008-06-13,Phase One,2,,,68,6.6
Tom Hiddleston,Thor,2011-05-06,Phase One,2,,,77,7.0
Tom Hiddleston,Thor: The Dark World,2013-11-08,Phase Two,2,2011-05-06,917,67,6.7
Tom Hiddleston,Thor: Ragnarok,2017-11-03,Phase Three,2,2013-11-08,1456,93,7.9
Tom Holland,Spider-Man: Homecoming,2017-07-07,Phase Three,0,,,92,7.4
Tom Holland,Spider-Man: Far From Home,2019-07-02,Phase Three,0,2017-07-07,725,91,7.3
Tom Holland,Spider-Man: No Way Home,2021-12-17,Phase Four,0,2019-07-02,899,93,8.1
Tony Leung Chiu-wai,Shang-Chi and the Legend of the Ten Rings,2021-09-03,Phase Four,1,,,92,7.3
Xochitl Gomez,Doctor Strange in the Multiverse of Madness,2022-05-06,Phase Four,1,,,73,6.9
Zendaya,Spider-Man: No Way Home,2021-12-17,Phase Four,1,,,93,8.1
Zoe Saldaña,Guardians of the Galaxy,2014-08-01,Phase Two,1,,,91,8.0
Zoe Saldaña,Guardians of the Galaxy Vol. 2,2017-05-05,Phase Three,1,2014-08-01,1008,85,7.6
Zoe Saldaña,Guardians of the Galaxy Vol. 3,2023-05-05,Phase Five,1,2017-05-05,2191,82,7.9
